title,authors,average_rating,isbn,isbn13,publication_date,publisher
The Histories,Herodotus/Aubrey de Sélincourt/Andrew Robert Burn,3.99,0140440348,9780140440348,8/30/1970,Penguin Classics
Photography's Other Histories,Christopher Pinney/Nicholas Peterson,3.83,0822331136,9780822331131,4/24/2003,Duke University Press Books
The Black Echo (Harry Bosch  #1; Harry Bosch Universe  #1),Michael Connelly,4.1,0446612731,9780446612739,12/1/2002,Grand Central Publishing
Postmortem (Kay Scarpetta  #1),Patricia Daniels Cornwell/Patricia Cornwell,4.02,0743477154,9780743477154,12/30/2003,Pocket Books
Selected Poems,Thomas Hardy/Robert Mezey,3.96,0140436995,9780140436990,12/1/1998,Penguin Books
The Tale of Peter Rabbit,Beatrix Potter,4.18,0723258732,9780723258735,12/28/2006,Warne
Dumbing Down Our Kids: Why American Children Feel Good About Themselves But Can't Read  Write or Add,Charles J. Sykes,3.71,0312148232,9780312148232,9/15/1996,St. Martin's Griffin
Origins of the Modern Mind: Three Stages in the Evolution of Culture and Cognition,Merlin Donald,4.16,0674644840,9780674644847,3/15/1993,Harvard University Press
Switch on the Night,Ray Bradbury/Leo Dillon/Diane Dillon,4.13,0553112449,9780553112443,9/14/2004,Dragonfly Books
Trail of Tears: The Rise and Fall of the Cherokee Nation,John Ehle,4.15,0385239548,9780385239547,9/22/1997,Anchor Books
Unsung Heroes Of Rock 'n' Roll: The Birth Of Rock In The Wild Years Before Elvis,Nick Tosches,4.11,0306808919,9780306808913,5/7/1999,Da Capo Press
The Servants of Twilight / Darkfall / Phantoms,Dean Koontz/Leigh Nichols,4.24,0517064871,9780517064870,7/27/1991,Wings
The Iliad,Homer/Robert Fitzgerald/Andrew Ford,3.86,0374529051,9780374529055,4/3/2004,Farrar  Straus and Giroux
A Hole in the World: An American Boyhood,Richard Rhodes,3.9,0700610383,9780700610389,4/26/2000,University Press of Kansas
Choke,Chuck Palahniuk,3.7,0099422689,9780099422686,8/1/2002,Vintage
Carried Away: A Personal Selection of Stories,Alice Munro/Margaret Atwood,4.15,0307264866,9780307264862,9/26/2006,Everyman's Library
The Confessions of Nat Turner,William Styron,3.97,0099285568,9780099285564,7/1/2004,Vintage Classics
Strong Opinions,Vladimir Nabokov,4.0,0679726098,9780679726098,3/17/1990,Vintage
You Belong To Me,Mary Higgins Clark,3.87,0671004549,9780671004545,4/1/1999,Pocket Books
True Evil,Greg Iles,4.09,0743292499,9780743292498,12/12/2006,Scribner Book Company
The Virtues of Aging,Jimmy Carter,3.55,0345425928,9780345425928,10/13/1998,Ballantine Books
Veronika Decides to Die,Paulo Coelho/Margaret Jull Costa/Kâmuran Şipal,3.7,0061124265,9780061124266,6/1/2006,Harper Perennial
The Art of Howl's Moving Castle,Hayao Miyazaki/Yuji Oniki/Joe Hisaishi,4.51,1421500493,9781421500492,7/1/2005,VIZ Media LLC
A Christmas Carol and The Night Before Christmas,Charles Dickens/Clement C. Moore/Arthur Rackham,4.35,0517229277,9780517229279,10/3/2006,Gramercy Books
"Approaches to Teaching Atwood's ""the Handmaid's Tale"" and Other Works (Approaches to Teaching World Literature)",Sharon Rose Wilson/Thomas B. Friedman/Shannon Eileen Hengen,3.75,0873527364,9780873527361,1/1/1996,Modern Language Association of America
Interview with the Vampire (The Vampire Chronicles  #1),Anne Rice,3.99,0345476875,9780345476876,8/31/2004,Ballantine Books
El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,9788432216060,6/1/2002,Booket
The Reverse of the Medal (Aubrey/Maturin  #11),Patrick O'Brian/Simon Vance,4.41,0786178183,9780786178186,2/1/2006,Blackstone Audiobooks
The Paradox of Choice: Why More Is Less,Barry Schwartz,3.85,0060005696,9780060005696,1/18/2005,Harper Perennial
The Foundations of Modern Political Thought: Volume One: The Renaissance,Quentin Skinner,4.36,0521220238,9780521220231,2/15/1979,Cambridge University Press
Cradle to Cradle: Remaking the Way We Make Things,William McDonough/Michael Braungart,4.11,0865475873,9780865475878,4/22/2002,North Point Press
Baltasar and Blimunda,José Saramago/Giovanni Pontiero,3.92,0156005204,9780156005203,10/16/1998,Mariner Books
The Unconsoled,Kazuo Ishiguro,3.54,0679735879,9780679735878,10/1/1996,Vintage International
Weight: The Myth of Atlas and Heracles,Jeanette Winterson,3.77,1841957186,9781841957180,10/5/2005,Canongate U.S.
Charles Dickens: Four Novels:  Great Expectations  Hard Times  A Christmas Carol  and A Tale of Two Cities,Charles Dickens,4.3,0517093391,9780517093399,10/2/1993,Gramercy
The Burglar Who Thought He Was Bogart (Bernie Rhodenbarr  #7),Lawrence Block,3.89,0060872799,9780060872793,10/31/2006,HarperTorch
La máquina de follar,Charles Bukowski,3.92,8433920448,9788433920447,7/1/1995,Anagrama
How to Spell Like a Champ,Barrie Trinkle/Paige Kimble/Carolyn  Andrews,4.17,0761143696,9780761143697,11/16/2006,Workman Publishing Company
Deep Six (Dirk Pitt  #7),Clive Cussler,3.9,1416516859,9781416516859,1/1/2006,Pocket Books
My Sister's Keeper,Mavis Applewater,3.86,097441218X,9780974412184,3/9/2004,Limitless Corporation
Would I Lie to You (Gossip Girl  #10),Cecily von Ziegesar,3.59,0316011835,9780316011839,10/4/2006,Little  Brown Young Readers
Ranma 1/2  Vol. 7 (Ranma ½ (US 2nd)  #7),Rumiko Takahashi,4.13,1591161290,9781591161295,2/4/2004,Viz Media
Midnight Riders: The Story of the Allman Brothers Band,Scott  Freeman,3.97,0316294527,9780316294522,7/1/1996,Little  Brown and Company
A Tale of Two Cities,Charles Dickens/Simon Schama,3.84,1857151437,9781857151435,3/18/1993,Everyman's Library
The Story of Avis,Elizabeth Stuart Phelps/Carol Phillips,3.55,0813510996,9780813510996,6/1/1985,Rutgers University Press
The Year of Magical Thinking,Joan Didion,3.89,140004314X,9781400043149,10/4/2005,Knopf Publishing Group
Steamed (A Gourmet Girl Mystery  #1),Jessica Conant-Park/Susan Conant,3.45,0425210383,9780425210383,2/6/2007,Berkley
From Potter's Field (Kay Scarpetta  #6),Patricia Cornwell,4.04,0425204693,9780425204696,8/30/2005,Berkley Books
Pan,Knut Hamsun/Sverre Lyngstad,3.9,0141180676,9780141180670,9/1/1998,Penguin Classics
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,4.18,1585424331,9781585424337,9/1/2005,Tarcherperigee
White Fang,Kathleen Olmstead/Jack London/Dan Andreasen/Arthur Pober,4.24,1402725000,9781402725005,3/28/2006,Sterling
Misery,Stephen King/María Mir,4.16,074323359X,9780743233590,3/26/2002,Simon & Schuster Libros en Español
Fun Home: A Family Tragicomic,Alison Bechdel,4.08,0618477942,9780618477944,6/8/2006,Houghton Mifflin Company
Three Books of Occult Philosophy,Cornelius Agrippa/Donald Tyson,4.1,0875428320,9780875428321,1/8/1992,Llewellyn Publications
A Robin McKinley Collection: Spindle's End  The Hero and the Crown and The Blue Sword (Folktales #1-3),Robin McKinley,4.39,0142302333,9780142302330,9/16/2002,Puffin
The Power of Art,Simon Schama,3.88,0061176109,9780061176104,11/10/2006,Ecco
Stephen King from A to Z: An Encyclopedia of His Life and Work,George Beahm,3.83,0836269144,9780836269147,3/31/1999,Andrews McMeel Publishing
His Dark Materials: New Edition,Nicholas Wright/Philip Pullman,4.02,1854598317,9781854598318,4/1/2005,Nick Hern Books
The Iron Dragon's Daughter,Michael Swanwick,3.69,0380972336,9780380972333,2/28/2012,Avon Books
The Wish Giver: Three Tales of Coven Tree,Bill Brittain/Andrew Glass,3.83,0064401685,9780064401685,4/2/2019,HarperCollins
Wild Things: Four Tales,Douglas Clegg,3.58,1587671565,9781587671562,10/1/2006,Cemetery Dance Publications
Nightfall,Anne Stuart,3.87,0451404750,9780451404756,3/1/1995,Onyx
Divine,Karen Kingsbury,4.28,141430935X,9781414309354,5/17/2007,Tyndale House Publishers
They Came from Below,Blake Nelson,3.66,0765314231,9780765314239,6/26/2007,Tor Books
Zorro,Isabel Allende/Margaret Sayers Peden/محمدعلی مهمان‌نوازان,3.76,006078721X,9780060787219,5/3/2005,HarperLargePrint
Fighting Ruben Wolfe (Wolfe Brothers  #2),Markus Zusak/Stig Wemyss,3.84,0439241871,9780439241878,6/1/2002,Push
The Burglar Who Painted Like Mondrian (Bernie Rhodenbarr  #5),Lawrence Block,3.88,0060731435,9780060731434,7/26/2005,HarperTorch
The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution,Richard Dawkins,4.13,061861916X,9780618619160,9/2/2005,Mariner Books
Working Effectively with Legacy Code,Michael C. Feathers,4.14,0131177052,76092025986,9/1/2004,Prentice Hall
The Art of Controversy (The Essays of Arthur Schopenhauer),Thomas Bailey Saunders,3.85,141916130X,9781419161308,6/17/2004,Kessinger Publishing
Lara's Leap of Faith (The Royal Ballet School Diaries  #2),Alexandra Moss/Veronica Bennett,4.07,0448435365,9780448435367,1/13/2005,Grosset & Dunlap
L'Étranger,Albert Camus,3.98,2070360024,9782070360024,3/2/2000,Gallimard
The Odyssey (New Translations from Antiquity),Homer/Edward McCrorie/Richard P. Martin,3.76,0801868548,9780801868542,4/8/2004,Johns Hopkins University Press
Judge Dredd (Audio Cassette),Neal Barrett Jr./Martha Banta,2.96,0553476793,9780553476798,7/1/1995,Random House Audio
The Orwell Reader: Fiction  Essays  and Reportage,George Orwell/Richard H. Rovere,4.38,0156701766,9780156701761,3/8/1961,Mariner Books
You'll Have Had Your Hole,Irvine Welsh,3.51,0413728609,9780413728609,4/2/1998,Bloomsbury Methuen Drama
Four Blondes,Candace Bushnell,2.82,080213825X,9780802138255,6/8/2001,Grove Press
Absolutely Normal Chaos,Sharon Creech,3.92,0330397818,9780330397810,9/7/2007,MacMillan Children's Books
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.88,0618710531,9780618710539,4/4/2006,Mariner Books
He Came to Set the Captives Free,Rebecca  Brown,4.09,0883683237,9780883683231,7/1/1992,Whitaker House
Thrones  Dominations,Dorothy L. Sayers/Jill Paton Walsh,3.89,0312968302,9780312968304,3/15/1999,St. Martin's Paperbacks
Le Petit Prince,Antoine de Saint-Exupéry,4.31,2070513289,9782070513284,2/1/2004,Gallimard Jeunesse
King Icahn,Mark      Stevens/Carol Bloom Stevens,3.97,0525936130,9780525936138,6/1/1993,Dutton Books
Ahora sabréis lo que es correr,Dave Eggers/María Victoria Alonso Blanco,3.63,8439710097,9788439710097,3/31/2004,Mondadori
Saint Joan/Major Barbara/Androcles and the Lion,George Bernard Shaw,3.67,0394604806,9780394604800,11/12/1979,Modern Library/Random House (NY)
Stir-Fry,Emma Donoghue,3.59,1555837239,9781555837235,12/29/2006,Alyson Books
Life of the Beloved: Spiritual Living in a Secular World,Henri J.M. Nouwen,4.28,0824519868,9780824519865,10/1/2002,Crossroad
Blood Moon Over Bengal,Morag McKendrick Pippin,3.47,0843954523,9780843954524,10/1/2004,Leisure Books
The Pretender (Liar's Club  #1),Celeste Bradley,3.98,0312984855,9780312984854,6/16/2003,St. Martin's Paperbacks
Obasan,Joy Kogawa,3.64,0385468865,9780385468862,12/27/1993,Anchor Books
Life  the Universe and Everything (Hitchhiker's Guide to the Galaxy  #3),Douglas Adams,4.2,0345418905,9780345418906,4/26/2005,Del Rey
To the Friend who Didn't Save my Life,Hervé Guibert/Linda Cloverdale,3.92,1852423285,9781852423285,1/1/1998,Serpent's Tail
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,9781400032495,8/10/2004,Vintage Crime/Black Lizard
Brand New Justice: How Branding Places and Products Can Help the Developing World,Simon Anholt,3.69,0750666005,9780750666008,1/15/2005,Routledge
The Meaning of Relativity (Science Library),Albert Einstein/Brian Greene,4.32,0691120277,9780691120270,11/21/2004,Princeton University Press
Magician: Apprentice (The Riftwar Saga  #1),Raymond E. Feist/Brett Booth,4.45,0976401150,9780976401155,6/29/2006,Dabel Brothers Productions
Watchmen on the Walls,Hannah Hurnard,4.02,0805413995,9780805413991,3/1/1998,B&H Publishing Group
Collected Tales  Sketches  Speeches  & Essays 1852–1890,Mark Twain/Louis J. Budd,4.29,0940450364,9780940450363,10/15/1992,Library of America
Death's Acre: Inside the Legendary Forensic Lab the Body Farm Where the Dead Do Tell Tales,William M. Bass/Jon Jefferson,4.19,0425198324,9780425198322,10/5/2004,Berkley
Forever Summer,Nigella Lawson,4.0,0701176156,9780701176150,6/2/2005,Chatto  Windus
The Adventuress,Audrey Niffenegger,3.33,081097052X,9780810970526,9/1/2006,Abrams
The Histories,Herodotus/Carolyn Dewald/Robin Waterfield,3.99,0192824252,9780192824257,11/19/1998,Oxford University Press
Letters of St. Augustine,Augustine of Hippo,4.36,0800730305,9780800730307,3/1/1992,Fleming H. Revell Company
Ein Koch für Mma Ramotswe (No. 1 Ladies' Detective Agency  #3),Alexander McCall Smith,3.98,3485009601,9783485009607,2/1/2003,Nymphenburger
The Last Unicorn,Peter S. Beagle,4.17,0370006542,9780370006543,8/1/1968,The Bodley Head Ltd
Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96,0452274044,9780452274044,2/1/1997,NAL
Venac sonetnih venaca; Puževa srma,Dobrica Erić,0.0,8644101277,9788644101277,1/1/1996,"Izdavačka agencija ""Draganić"""
Boltzmon!,William Sleator,3.62,0525461310,9780525461319,9/1/1999,Dutton Juvenile
Essential McLuhan,Marshall McLuhan/Eric McLuhan/Frank Zingrone,4.05,0415162459,9780415162456,6/7/1997,Routledge
Oh Rats! The Story of Rats and People,Albert Marrin/C.B. Mordan,3.77,0525477624,9780525477624,8/17/2006,Dutton Books for Young Readers
Modern Reader's Guide to Dante's the Divine Comedy,Joseph Gallagher,4.49,0764804944,9780764804946,5/10/1999,Liguori Publications
The Enneads,Plotinus/Stephen MacKenna/John M. Dillon,4.06,014044520X,9780140445206,6/27/1991,Penguin Classics
The Beach House (Beach House #1),Mary Alice Monroe,4.2,0778322947,9780778322948,4/25/2006,Mira Books
Magic's Pawn (Valdemar: Last Herald-Mage #1),Mercedes Lackey,4.21,0886773520,9780886773526,6/6/1989,DAW Books Inc
Autobiography of Thomas Jefferson,Thomas Jefferson,3.89,0486442896,9780486442891,6/3/2005,Dover Publications
1968: The Year That Rocked the World,Mark Kurlansky,3.78,0345455827,9780345455826,1/11/2005,Random House Trade Paperbacks
Mere Christianity,C.S. Lewis/Kathleen Norris,4.32,0060652926,9780060652920,4/21/2015,HarperOne
My Favorite Year: A Collection of Football Writing,Nick Hornby/D.J. Taylor/Huw Richards/Chris Pierson/Roddy Doyle/Harry Ritchie/Harry Pearson/Olly Wicken/Graham Brack/Matt Nation/Ed Horton/Don  Watson,3.68,0753814412,9780753814413,8/1/2001,Orion Publishing
Orlando Furioso: Part Two,Ludovico Ariosto/Barbara Reynolds,4.23,014044310X,9780140443103,9/29/1977,Penguin Classics
Last Night: Stories,James Salter,3.9,1400078415,9781400078417,3/14/2006,Vintage
Down the Yellow Brick Road:The Making of The Wizard of Oz,Doug McClelland/Ted Sennett,3.92,0515040967,9780515040968,5/1/1976,Pyramid Books
The Terror,Dan Simmons,4.07,0316017442,9780316017442,1/8/2007,Little  Brown and Company
Beyond the Chains of Illusion: My Encounter with Marx and Freud,Erich Fromm/Rainer Funk,4.07,082641897X,9780826418975,12/17/2006,Bloomsbury / Continuum
Shakespeare: The Invention of the Human,Harold Bloom,4.02,157322751X,9781573227513,9/1/1999,The Berkley Publishing Group
How the García Girls Lost Their Accents,Julia Alvarez,3.63,0452287073,9780452287075,10/4/2005,Plume
Un amour de swann (À la recherche du temps perdu  #1.2),Marcel Proust,3.92,2035882133,9782035882134,6/1/2006,Larousse
The Phantom Menace (Star Wars: Novelizations  #1),Terry Brooks/George Lucas,3.57,0099409968,9780099409960,3/2/2000,Arrow
The Awakening and Selected Stories,Kate Chopin/Cynthia Brantley Johnson/Alyssa  Harad,3.92,0743487672,9780743487672,7/1/2004,Simon  Schuster
I Like Winter (Seasons  #3),Lois Lenski/Heidi Kilgras,3.94,0375810684,9780375810688,10/24/2000,Random House Books for Young Readers
Letting Go,Philip Roth,3.7,0679764178,9780679764175,9/2/1997,Vintage
The Zürau Aphorisms,Franz Kafka/Michael Hofmann/Geoffrey Brock/Roberto Calasso,3.75,0805212078,9780805212075,12/26/2006,Schocken
Morgoth's Ring (The History of Middle-Earth  #10),J.R.R. Tolkien/Christopher Tolkien,4.13,0395680921,9780395680926,12/14/1993,Houghton Mifflin Harcourt
The Call of the Wild and Selected Stories: 100th Anniversary Ed.,Jack London/Alex Kershaw,3.82,0451527038,9780451527035,11/1/1998,Signet Classics
ヒカルの碁 13、プロ第一戦,Yumi Hotta/Yumi Hotta,4.26,4088731441,9784088731445,8/8/2001,集英社
Demon Box,Ken Kesey,3.56,0140085300,9780140085303,8/4/1987,Penguin Books
Seven Men and Two Others,Max Beerbohm,3.88,1853754153,9781853754159,1/9/2001,Carlton Publishing Group
Train_man  Volume 3 (Train_man),Hidenori Hara/Hitori Nakano,3.94,1421508508,9781421508504,2/13/2007,VIZ Media LLC
The Valentine Legacy (Legacy #3),Catherine Coulter,3.88,0515118362,9780515118360,9/1/1996,Berkley Books
Vinyl Cafe Diaries (Vinyl Cafe  #4),Stuart McLean,4.19,0670044369,9780670044368,11/28/2003,Penguin Books Canada
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,4.19,0553380966,9780553380965,5/2/2000,Spectra
Blood Meridian  or the Evening Redness in the West,Cormac McCarthy/Harold Bloom,4.17,0679641041,9780679641049,1/2/2001,Modern Library
Naked Economics: Undressing the Dismal Science,Charles Wheelan,4.03,0393324869,9780393324860,9/17/2003,W. W. Norton  Company
Healthy Cooking for IBS: 100 Delicious Recipes to Keep You Symptom-Free,Sophie Braimbridge/Erica Jankovich,2.62,1584794941,9781584794943,4/1/2006,Harry N. Abrams
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,0439358078,9780439358071,9/1/2004,Scholastic Inc.
From Sawdust to Stardust: The Biography of DeForest Kelley,Terry Lee Rioux,4.08,0743457625,9780743457620,2/1/2005,Gallery Books
No Name,Wilkie Collins/Virginia Blain,3.92,019283388X,9780192833884,6/25/1998,Oxford University Press
James and the Giant Peach,Roald Dahl/Quentin Blake,4.01,0141311355,9780141311357,4/5/1998,Puffin
Fantastic Mr. Fox (Cover to Cover),Roald Dahl,4.05,1855495090,9781855495098,9/15/1995,BBC Audiobooks
The Lord of the Rings- 3 volumes set (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618574999,9780618574995,6/1/2005,Mariner Books
A Gravity's Rainbow Companion: Sources and Contexts for Pynchon's Novel,Steven Weisenburger,4.01,0820328073,9780820328072,11/1/2006,University of Georgia Press
La conspiración de los alquimistas,Hania Czajkowski,4.0,030727411X,9780307274113,3/5/2005,Debolsillo
A Life in Letters,F. Scott Fitzgerald/Matthew J. Bruccoli,4.22,0684801531,9780684801537,5/3/1995,Scribner
Acts of Faith,Philip Caputo,3.94,0375725970,9780375725975,5/9/2006,Vintage
Must Love Dragons (Immortally Sexy  #2),Stephanie Rowe,3.98,0446617679,9780446617673,11/1/2006,Warner Forever
Purgatorio (La Divina Commedia #2),Dante Alighieri/Robert M. Durling,4.02,0195087453,9780195087451,4/8/2004,Oxford University Press  USA
Babyville,Jane Green,3.62,0767912233,9780767912235,5/27/2003,Broadway Books
A Simple Habana Melody,Oscar Hijuelos,3.45,0060928697,9780060928698,6/17/2003,Harper Perennial
Winter (Four Seasons  #4),Núria Roca/Rosa María Curto,3.82,0764127314,9780764127311,6/30/2004,Barron's Educational Series
The Kindness of Strangers,Katrina Kittle,4.02,0060564784,9780060564780,1/2/2007,William Morrow Paperbacks
The Mind’s I: Fantasies and Reflections on Self and Soul,Douglas R. Hofstadter/Daniel C. Dennett,4.14,0553345842,9780553345841,4/1/1985,Bantam Books
Rebekah (Women of Genesis  #2),Orson Scott Card,3.84,076534128X,9780765341280,3/27/2012,Forge
Trojan Odyssey (Dirk Pitt  #17),Clive Cussler,3.94,0425199320,9780425199329,12/1/2004,G.P. Putnam's Sons
The Bluest Eye,Toni Morrison,4.03,0452287065,9780452287068,9/6/2005,Plume
Dr. Seuss's ABC (Book & CD),Dr. Seuss,4.08,0375834966,9780375834967,1/5/2005,Random House Books for Young Readers
The Pirate Dictionary,Terry Breverton,3.7,1589802438,9781589802438,7/31/2004,Pelican Publishing Company
The Pearl/The Red Pony,John Steinbeck,3.64,0140042326,9780140042320,9/30/1976,Penguin Books
Heart Songs and Other Stories,Annie Proulx,3.94,0020360754,9780020360759,3/17/1995,Scribner
Europe on a Shoestring,Sarah Johnstone/Aaron Anderson/Sarah  Andrews/Lonely Planet,4.05,1741045916,9781741045918,3/1/2007,Lonely Planet
What Came Before He Shot Her (Inspector Lynley  #14),Elizabeth  George,3.56,0060545623,9780060545628,10/17/2006,Harper
Theft: A Love Story,Peter Carey,3.43,0307263711,9780307263711,5/9/2006,Alfred A. Knopf
The Disappointment Artist,Jonathan Lethem,3.63,1400076811,9781400076819,3/14/2006,Vintage
Complete Works of Tacitus,Tacitus/Alfred J. Church/William Jackson Brodribb/Moses Hadas,4.29,0075536390,9780075536390,9/1/1964,McGraw-Hill Humanities/Social Sciences/Languages
The Harlequin (Anita Blake  Vampire Hunter #15),Laurell K. Hamilton,3.92,0425217248,9780425217245,6/5/2007,Berkley Books
Les Mandarins: Tome 2,Simone de Beauvoir,4.2,2070367703,9782070367702,6/9/1972,Folio
Oprah Winfrey,Katherine E. Krohn,3.79,0822550008,9780822550006,1/1/2002,Lerner Publications
Six Easy Pieces: Essentials of Physics Explained by Its Most Brilliant Teacher (Helix),Richard P. Feynman/Robert B. Leighton/Matthew L. Sands/Paul Davies,4.21,0201408252,9780201408256,4/10/1996,Basic Books
King Lear,William Shakespeare/Barbara A. Mowat/Paul Werstine,3.91,0743484959,9780743484954,8/1/2005,Simon  Schuster
Ports of Call,Jack Vance,3.55,0312864744,9780312864743,1/15/1999,Tor Books
A Certain Justice (Abe Glitsky  #1),John Lescroart,4.01,0451217764,9780451217769,2/7/2006,Signet
The Outlandish Companion: Companion to Outlander  Dragonfly in Amber  Voyager  and Drums of Autumn,Diana Gabaldon,4.08,0385324138,9780385324137,6/29/1999,Delacorte Press
The Magical Worlds of Lord of the Rings: The Amazing Myths  Legends and Facts Behind the Masterpiece,David Colbert,4.08,0425187713,9780425187715,10/1/2002,Berkley Trade
Cloud Atlas,David Mitchell,4.02,0340822783,9780340822784,2/21/2005,Sceptre
The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84,0307277674,9780307277671,3/28/2006,Anchor
The Screwtape Letters/Book & Study Guide,C.S. Lewis,4.22,0800783360,9780800783365,1/1/1976,Fleming H Revell Co
Tiger Prince,Erin St. Claire/Sandra Brown,3.78,155166531X,9781551665313,9/24/1999,MIRA
Master of the Night (Mageverse #1),Angela Knight,3.88,0425198804,9780425198803,10/5/2004,Berkley Sensation
A Slipping-Down Life,Anne Tyler,3.61,0345478959,9780345478955,5/4/2004,Ballantine Books
The Art of Deception: Controlling the Human Element of Security,Kevin D. Mitnick/William L. Simon/Steve Wozniak,3.76,076454280X,9780764542800,10/17/2003,Wiley
Poetry  Tales and Selected Essays,Edgar Allan Poe/Gary Richard Thompson/G.R. Thompson/Patrick F. Quinn,4.41,1883011388,9781883011383,10/1/1996,Library of America
A Severed Head,Iris Murdoch,3.73,0140020039,9780140020038,11/18/1976,Penguin Books
Minor Works: On Colours/On Things Heard/Physiognomics/On Plants/On Marvellous Things Heard/Mechanical Problems/On Indivisible Lines/The...Gorgias,Aristotle/W.S. Hett,4.57,0674993381,9780674993389,6/28/1963,Loeb Classical Library 307
Thumbsucker,Walter Kirn,3.44,0385497091,9780385497091,10/19/1999,Broadway Books
The Adventures of Huckleberry Finn,Mark Twain/Peter Coveney,3.82,0141439645,9780141439648,1/30/2003,Penguin Books
Juan Rulfo's Mexico,Juan Rulfo/Carlos Fuentes/Margo Glantz/Jorge Alberto Lozoya/Eduardo Rivero/Víctor Jiménez/E. Billeter,4.47,158834097X,9781588340979,8/17/2002,Smithsonian Books
What Color Is Your Parachute? A Practical Manual for Job-Hunters and Career-Changers,Richard Nelson Bolles,3.7,1580087949,9781580087940,9/1/2006,Ten Speed Press
Until I Find You,John Irving,3.63,0345479726,9780345479723,5/30/2006,Ballantine Books
Horton Hatches the Egg,Dr. Seuss,4.16,0007175191,9780007175192,10/2/2004,Harpercollins Children's Books
Memoirs of a Geisha,Arthur Golden,4.11,1400096898,9781400096893,11/22/2005,Vintage Books USA
I. Asimov,Isaac Asimov,4.2,055356997X,9780553569971,1/1/1995,Bantam
Marvel 1602,Neil Gaiman/Andy Kubert/Richard Isanove/Peter Sanderson/Todd Klein,3.94,0785123113,9780785123118,8/2/2006,Marvel
In einer regnerischen Nacht.,Jodi Picoult,3.58,3492236553,9783492236553,2/1/2003,Piper
The Confessions (Works of Saint Augustine 1),Augustine of Hippo/John E. Rotelle/Maria Boulding,3.92,1565480848,9781565480841,12/1/2002,New City Press
How to Read a Poem,Terry Eagleton,3.73,1405151412,9781405151412,10/20/2006,Wiley-Blackwell
Superheroes and Philosophy: Truth  Justice  and the Socratic Way,Tom Morris/William Irwin,3.87,0812695739,9780812695731,4/20/2005,Open Court
Pedro Páramo,Juan Rulfo,4.05,351801434X,9783518014349,4/1/1999,Suhrkamp
Beauty and Sadness,Yasunari Kawabata/Howard Hibbett,3.85,0679761055,9780679761051,1/30/1996,Vintage
Ten Short Stories Book & Cd Pack (Penguin Student Editions),Roald Dahl,3.84,0140817786,9780140817782,3/30/2000,Penguin Classics
The McDougall Quick and Easy Cookbook,John A. McDougall/Mary McDougall,4.01,0452276969,9780452276963,4/1/1999,Plume
Giving Good Weight,John McPhee,4.23,0374516006,9780374516000,4/1/1994,Farrar  Straus and Giroux
Playing in the Dark: Whiteness and the Literary Imagination,Toni Morrison,4.24,0674673778,9780674673779,5/1/1992,Harvard University Press
La última oportunidad,Eoin Colfer,3.77,0307350053,9780307350053,4/4/2006,Plaza y Janes
The Ghosts in Baker Street: New Tales of Sherlock Holmes,Martin H. Greenberg/Daniel Stashower,3.58,078671400X,9780786714001,1/9/2006,Running Press
Les Fils des ténèbres,Dan Simmons,3.71,2226074740,9782226074744,10/1/1994,Albin Michel
The Stone Raft,José Saramago,3.8,1860467210,9781860467219,6/1/2000,Panther
Marsha Is Only a Flower (Marsha  #2),Barbara Bottner,3.82,0307263304,9780307263308,4/1/2000,Random House Books for Young Readers
Tsubasa: RESERVoir CHRoNiCLE  Vol. 1,CLAMP/Anthony Gerard,4.11,0345470575,9780345470577,4/27/2004,Del Rey
The Pound Era,Hugh Kenner,4.37,0520024273,9780520024274,9/18/1973,University of California Press
Little Women,Louisa May Alcott/Jessie Willcox Smith/Frank T. Merrill,4.07,0517221160,9780517221167,9/3/2002,Gramercy Books
The Road to Jerusalem (The Knight Templar  #1),Jan Guillou/Anna Paterson,4.0,0752848372,9780752848372,12/5/2002,Orion
Arrows of the Queen (Heralds of Valdemar  #1),Mercedes Lackey,4.14,0886773784,9780886773786,3/3/1987,Daw Books
The Wings of Merlin,T.A. Barron,4.11,0441010245,9780441010240,1/28/2003,Ace
Wie ich eines schönen Morgens im April das 100%ige Mädchen sah,Haruki Murakami/Nora Bierich,3.8,3499222507,9783499222504,8/1/1998,Rowohlt Tb
God Created the Integers: The Mathematical Breakthroughs That Changed History,Stephen Hawking,4.07,0762419229,9780762419227,10/4/2005,Running Press Book Publishers
Little Women (Little Women  #1),Louisa May Alcott/Scott McKowen,4.07,1402714580,9781402714580,10/1/2004,Sterling
Sylvester,Georgette Heyer/Joan Wolf,4.11,0373836082,9780373836086,4/23/2004,Harlequin
